objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
104,221,0.23903453,10412.30236248,Special Use Park,SU,,,Beechview Healthy Active Living Center Park,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.138420607149478,8e24f6a9-e2ae-414b-8ccb-420959f2fa05,967.3359375,124.54418185499
106,98,2.55200283,111164.79873532,Neighborhood Park,NP,12,Larimer Playground,Larimer Park,Larimer Park,Northeast,1546.479562,e2dfdfa0-07bf-44bc-b67a-987e04079b1f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,1.47539224774835,df0aa4d5-1110-4bf1-b94e-73ece7e761e4,10327.5859375,620.127787300099
107,125,56.2576733,2450574.44657283,Community Park,CP,10,Mellon Park,Mellon Park,Mellon Park,Eastern,7625.3993799,afed3549-f340-4b7c-83dd-cee2c7b29ffe,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,32.5369723817349,b1324703-44d5-4061-b7f7-d74b7cba8349,227666.73828125,3054.7296269697
108,149,7.20398349,313804.26563419,Neighborhood Park,NP,11,Paulson Playground,Paulson Park,Paulson Park,Eastern,2017.6125636,8180fb19-0d4a-451d-bec4-fc7decd19d52,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,4.16458731421828,de2b3d05-c136-47f5-aba4-c58957f0e954,29153.48828125,808.906027446851
109,9,13.9719378,608615.17625769,Neighborhood Park,NP,15,Ammon Park,Ammon Park,Ammon Park,Schenley,2493.40740141,e8ad959c-58fa-4c30-baa0-4264c8d10705,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,8.08163220824049,08a0e4c6-540f-425e-864b-34a3cccd0ddc,56542.40625,999.394522716953
110,101,1.20721986,52586.28682817,Beautification Site,BTF,2,Legion Memorial Park,Legion Memorial Park,Legion Memorial Park,Northern,786.64578979,8256c558-9b8e-4999-af5e-828fca9537b9,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.697612334639159,59e72fa5-aeaf-4981-a286-a8032a5a3b14,4885.4375,315.365335396037
111,30,7.57434417,329937.11219809,Neighborhood Park,NP,9,Bud Hammer Playground,Bud Hammer Park,Bud Hammer Park,Schenley,2043.23793256,7af3c8fe-087a-4e37-af3e-03860275b96c,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,4.38484530487721,9d9aa6c6-821b-40cb-8f14-f9a6279fa698,30652.296875,848.274239654901
112,67,3.04792659,132767.1512667,Neighborhood Park,NP,9,Four Mile Run Playground,Four Mile Run Park,Four Mile Run Park,Schenley,2243.35767795,5add2480-4844-49fa-97f4-adba23a96075,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,1.76412434404524,83476b31-0d76-410f-8a73-2cec564d5077,12334.51953125,898.727182629135
113,75,5.77550477,251579.98126982,Neighborhood Park,NP,9,Gladstone Field,Gladstone Park,Gladstone Park,Schenley,1630.11987804,2f062758-efae-4329-9ae2-4a4049c76c2f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,3.34405358882421,f896bcbe-95d9-46b9-9da4-10a1a63c3e6e,23372.6484375,653.376149370099
114,47,1.89795974,82674.7955443,Neighborhood Park,NP,13,Denny Parklet,Denny Park,Denny Park,State,1158.75039968,8c670a48-12e6-4067-9a59-a19f53d1aeea,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,1.09754893653148,807c8239-973c-44eb-85b3-d6b5331f2b90,7680.76953125,464.389174432368
